"","Study_l","Group_l","Trial_l","Condition_l","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","typepairs"
"1","1",NA,NA,"Synchronous","10.0795682778957","96.8951997456819","31700","113","6.92290220820189","2.64486968735395","98.2078520716329","9.02422103213242","3.31393533695857","80.8832746733523","23232","20","3.61053719008264","1.72104663626064","90.5211899136975","4.18468327909776","surrogate"
"2","1",NA,NA,"TurnTaking","7.25391372302761","96.81035542144","18270","271","7.76146688560482","2.75421980186352","97.9388833513115","9.84862007414527","3.70958925763102","82.114541597926","26391","23","3.30048122465992","1.55443625777881","93.2971953806269","3.89933018124507","surrogate"
"3","1",NA,NA,"Synchronous","13.2099184646558","90.17070549512","41157","54","6.50317078504264","2.45234641875553","97.747509492061","11.8299355785697","4.44196115436985","89.9694255602316","27647","40","4.52352877346548","2.0623502334329","93.3095931801014","5.37459080926532","surrogate"
"4","1",NA,NA,"TurnTaking","10.820699460837","92.8479239894552","34504","149","5.8795791792256","2.36646574861219","96.0090802577622","8.3776357827476","3.95582275245053","82.7557551540012","26277","36","3.56243102332839","1.67081575817111","87.3793274161038","3.8800345450263","surrogate"
"5","1",NA,NA,"Synchronous","5.23657977900321","86.9027586558564","13698","110","7.46495838808585","2.42037928571301","88.427413186477","10.5547778454047","5.05981892149867","90.9934318555008","30743","32","4.68656279478255","2.11709365043462","97.3203233548061","7.9533935483871","surrogate"
"6","1",NA,NA,"TurnTaking","4.55101694151416","95.354531209193","10491","98","8.35258793251358","2.65705708178071","96.7147645164099","12.8138696655133","3.88045942602871","86.3925162895071","26192","26","3.65997251069029","1.750065534537","95.6020583808726","5.85080800838343","surrogate"
"7","1",NA,NA,"Synchronous","18.9871299567735","96.5947951556461","53954","239","7.63822886162286","2.67908819856735","98.4530319402026","16.7614126097366","3.23564459325722","80.0770332329268","22217","27","3.64954764369627","1.74073055084912","90.880450348131","5.38354882115486","surrogate"
"8","1",NA,NA,"TurnTaking","14.9481414056074","95.3392371429802","39482","319","7.28866318828834","2.49039038463031","97.224016777156","9.841046277666","3.21589826965103","75.8650688357729","22758","16","3.06547148255558","1.41299092118012","85.2530503055743","3.72627025999335","surrogate"
"9","1",NA,NA,"Synchronous","13.2099184646558","90.17070549512","41157","54","6.50317078504264","2.45234641875553","97.747509492061","11.8299355785697","4.44196115436985","89.9694255602316","27647","40","4.52352877346548","2.0623502334329","93.3095931801014","5.37459080926532","surrogate"
"10","1",NA,NA,"TurnTaking","10.820699460837","92.8479239894552","34504","149","5.8795791792256","2.36646574861219","96.0090802577622","8.3776357827476","3.95582275245053","82.7557551540012","26277","36","3.56243102332839","1.67081575817111","87.3793274161038","3.8800345450263","surrogate"
"11","1",NA,NA,"Synchronous","10.0795682778957","96.8951997456819","31700","113","6.92290220820189","2.64486968735395","98.2078520716329","9.02422103213242","3.31393533695857","80.8832746733523","23232","20","3.61053719008264","1.72104663626064","90.5211899136975","4.18468327909776","surrogate"
"12","1",NA,NA,"TurnTaking","7.25391372302761","96.81035542144","18270","271","7.76146688560482","2.75421980186352","97.9388833513115","9.84862007414527","3.70958925763102","82.114541597926","26391","23","3.30048122465992","1.55443625777881","93.2971953806269","3.89933018124507","surrogate"
"13","1",NA,NA,"Synchronous","5.23657977900321","86.9027586558564","13698","110","7.46495838808585","2.42037928571301","99.0600513317356","18.7969682309305","5.05981892149867","90.9934318555008","30743","32","4.68656279478255","2.11709365043462","94.3791840343564","5.40880958413261","surrogate"
"14","1",NA,NA,"TurnTaking","4.55101694151416","95.354531209193","10491","98","8.35258793251358","2.65705708178071","99.3057369199965","17.7234414449408","3.88045942602871","86.3925162895071","26192","26","3.65997251069029","1.750065534537","92.2387145032939","4.25390689941812","surrogate"
"15","1",NA,NA,"Synchronous","18.9871299567735","96.5947951556461","53954","239","7.63822886162286","2.67908819856735","98.6986717169705","9.79755229298029","3.23564459325722","80.0770332329268","22217","27","3.64954764369627","1.74073055084912","90.2049281516962","4.2395562569625","surrogate"
"16","1",NA,NA,"TurnTaking","14.9481414056074","95.3392371429802","39482","319","7.28866318828834","2.49039038463031","98.7148777990916","14.7534165181224","3.21589826965103","75.8650688357729","22758","16","3.06547148255558","1.41299092118012","93.3295634963788","3.87537252777025","surrogate"
"17","2",NA,NA,"Synchronous","13.0976138150483","89.3194731516635","116475","29","4.43361236316806","2.03990501208586","90.2268422827788","4.58755606367074","5.07986902756686","91.0390374406454","55851","46","4.65492112943367","2.11655692554302","94.1671452383287","6.30220295289431","surrogate"
"18","2",NA,NA,"TurnTaking","8.20538076992869","89.5980695854799","67467","105","4.81014421865505","2.15673815683769","91.5392515778488","5.45279171120796","3.57048769211695","85.2799920286967","55815","25","3.06680999731255","1.41050974846952","90.4169988043045","3.38787358360246","surrogate"
"19","2",NA,NA,"Synchronous","7.70243584286261","95.9397178243593","40538","299","8.04667225812818","2.46694449706859","98.1141231937553","12.7139644789999","3.71683286072519","81.6709500495341","46301","31","3.68564393857584","1.75318737719618","91.2992289910839","4.38918160274256","surrogate"
"20","2",NA,NA,"TurnTaking","11.5029197809524","96.4030392191617","58174","187","8.41437755698422","2.82522501564777","97.9632189884237","12.8861946581695","3.39235465231593","84.7241303367487","47940","33","3.370337922403","1.60566552995659","92.9399179889463","4.05226456937744","surrogate"
