"","Study_l","Group_l","Trial_l","Condition_l","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","typepairs"
"1","1","3","2","TurnTaking","10.0495825099254","14.8312591345941","25496","5","2.10150611860684","0.338371916556627","38.86520660791","2.38299389002037","3.3031685010261","6.59482480480093","5032","4","2.03100158982512","0.139132974521621","10.3181260889204","2.08801253591016","shuffled"
"2","1","3","3","Synchronous","10.1077644853314","20.7817270474023","26806","6","2.1050511079609","0.347056871556623","40.6832469699146","2.40373400644094",NA,NA,NA,NA,NA,NA,NA,NA,"shuffled"
"3","1","4","1","Synchronous","6.66301439118185","14.9995324543475","10771","5","2.08495032958871","0.297838812814185","25.4137779024566","2.2794751976995",NA,NA,NA,NA,NA,NA,NA,NA,"shuffled"
"4","1","4","3","TurnTaking","5.22607256885137","9.91405043259071","5081","4","2.05904349537493","0.227578913229142","17.5121059065452","2.11950911801812","3.56421322610642","6.78977216978355","3385","4","2.04431314623338","0.183304239778039","9.03373300104005","2.05238519839501","shuffled"
"5","2","10","1","Conversation","4.98289497918196","8.7095087631561","9352","5","2.04843883661249","0.196124270108295","15.8818849310086","2.14299736212502",NA,NA,NA,NA,NA,NA,NA,NA,"shuffled"
"6","2","10","2","TurnTaking","5.37216134924531","10.0789413759077","11632","5","2.05476272352132","0.215248257192859","15.4804375511306","2.09316911848557","3.45118089184279","6.6279063774077","6314","5","2.03658536585366","0.157164899113897","7.4438310834841","2.03036693378321","shuffled"
"7","2","10","3","Synchronous","5.48724446394716","10.8117480946916","12726","5","2.05783435486406","0.224096253847457","20.1785168732299","2.16217650962176","4.03567214626476","7.97501663941182","8844","4","2.04579375848033","0.187941676654933","11.6802059320054","2.0405821654089","shuffled"
"8","2","5","1","Synchronous","11.7475167080067","22.4591608669409","54378","7","2.14174850123212","0.428142921804783","44.6280943923449","2.5954466438625",NA,NA,NA,NA,NA,NA,NA,NA,"shuffled"
"9","2","5","2","TurnTaking","14.0629980374704","23.3929207160796","67905","7","2.13851704587291","0.420873547961342","56.1236144201788","2.75746950857559","3.42074493906672","6.60783559193352","6257","4","2.03084545309254","0.138476760996968","9.24951378560806","2.08376288659794","shuffled"
"10","2","5","3","Conversation","5.70594769019354","11.5054472112819","14020","5","2.0669757489301","0.249540934685373","25.807156015754","2.18659804218387","3.57473911976948","7.239785229823","7161","4","2.03169948331239","0.141455051417759","7.38558611458059","2.0275956284153","shuffled"
"11","2","6","1","TurnTaking","3.36391568938524","6.28729207354031","4580","4","2.03842794759825","0.164185913064388","10.8572967876625","2.05742725880551","3.63014998645413","6.99109146682086","7011","4","2.03494508629297","0.152708609506146","8.65568372257122","2.07665177521749","shuffled"
"12","2","6","2","Conversation","3.28571354136343","6.37074421875646","4548","4","2.03166226912929","0.141277575828064","13.2889311766572","2.10116646680475","4.32025097298102","8.72898558482145","10360","5","2.04633204633205","0.189676335889729","14.2603625822975","2.07463759434527","shuffled"
"13","2","6","3","Synchronous","7.51096291265396","13.3934953807733","21551","4","2.06050763305647","0.231699767987318","30.7496026228401","2.23854379377731","3.23852056721516","6.26448714146041","5619","4","2.02972059085246","0.134624917711749","8.53024860209384","2.05043570108265","shuffled"
"14","2","7","1","Conversation","6.72885081581015","12.890497432876","18513","6","2.06816831415762","0.253397705872003","23.5431360996549","2.207145787962","4.17404811157454","8.40017046665246","9644","5","2.04386146827043","0.181828203960533","12.9269124227573","2.13027600252827","shuffled"
"15","2","7","2","Synchronous","7.4545540631249","15.2246253711341","23931","5","2.09343529313443","0.31905845073991","25.1100866409975","2.18642004710116",NA,NA,NA,NA,NA,NA,NA,NA,"shuffled"
"16","2","7","3","TurnTaking","1.17024575908528","2.23977389318001","574","3","2.01567944250871","0.0807103034732857","8.60289989740016","2.0469829571626",NA,NA,NA,NA,NA,NA,NA,NA,"shuffled"
"17","2","8","1","TurnTaking","8.8807464816396","16.3522221145163","30737","6","2.08553209486938","0.2993502720852","30.4968700097445","2.21642967055377","3.45664193071027","6.6308151502676","6335","4","2.03393843725335","0.149291467019905","8.63318237958008","2.02461984069515","shuffled"
"18","2","8","2","Synchronous","11.3945196423996","20.8075120731167","48939","6","2.13851938127056","0.421426351571298","33.7401113768622","2.37021466780262",NA,NA,NA,NA,NA,NA,NA,NA,"shuffled"
"19","2","8","3","Conversation","5.69305747518067","11.6293876316638","14134","5","2.06770907032687","0.252151722473258","20.3001953816707","2.17798744823464","3.92091917644688","7.75837038381272","8393","4","2.03753127606339","0.161367697998068","9.60439161600581","2.07163127507584","shuffled"
"20","2","9","1","Synchronous","6.67260054537616","12.0532895138894","17115","5","2.07432077125329","0.269953060733201","24.7818647255739","2.24697552716638",NA,NA,NA,NA,NA,NA,NA,NA,"shuffled"
"21","2","9","2","Conversation","4.79792379187083","9.25964398696822","9575","5","2.04814621409922","0.195047598942961","15.4152698427688","2.10605083215069",NA,NA,NA,NA,NA,NA,NA,NA,"shuffled"
"22","2","9","3","TurnTaking","5.79373254638835","12.2918352903455","15183","5","2.07047355595073","0.259801154867895","24.3224749459427","2.22427233068726","3.52188978271647","6.82213063417985","6648","4","2.03173886883273","0.141713700849993","9.55562963411924","2.06089324618736","shuffled"
